Time,Distance
0,0
10,0.0365834
20,20.8821
30,20.9014
40,20.923
50,20.947
60,20.9729
70,21.0008
80,21.0303
90,0.524249
100,0.605146
110,0.689452
120,0.776827
130,0.86702
140,0.959623
150,1.05441
160,1.15103
170,1.24911
180,1.34843
190,1.44862
200,1.5494
210,1.65043
220,1.75138
230,1.85197
240,1.95188
250,2.05082
260,2.14844
270,2.24445
280,2.33852
290,2.43039
300,2.51976
310,1.32158
320,1.40249
330,1.48106
340,1.55686
350,1.62948
360,1.69861
370,1.7639
380,1.82504
390,1.88177
400,1.93377
410,1.98084
420,2.02274
430,2.05926
440,2.09021
450,2.11548
460,20.7075
470,20.697
480,20.6825
490,20.664
500,0
510,0.0544644
520,0.113925
530,0.178268
540,0.247384
550,0.321173
560,0.399565
570,0.482468
580,0.569756
590,0.661372
600,0.757219
610,18.5652
620,18.5019
630,18.4355
640,18.3661
650,18.2939
660,18.2187
670,18.1406
680,18.0595
690,17.9755
700,16.9219
710,21.6539
720,21.7143
730,21.7753
740,21.8368
750,21.8988
760,21.9611
770,23.3054
780,23.3427
790,23.1999
800,23.2215
810,23.2428
820,16.187
830,16.0577
840,15.9253
850,15.7901
860,15.6519
870,15.5108
880,15.3668
890,15.2199
900,15.0701
910,14.9174
920,14.7619
930,14.6035
940,14.4424
950,14.2784
960,14.1117
970,17.9869
980,18.1266
990,0.224293
1000,0
1010,0.23148
1020,0.473869
1030,0.726756
1040,0.989714
1050,1.2623
1060,1.54396
1070,1.83434
1080,2.13283
1090,2.43895
1100,22.3094
1110,22.3144
1120,22.3164
1130,23.3668
1140,23.306
1150,21.7222
1160,21.859
1170,21.9926
1180,22.1229
1190,22.9173
1200,22.8221
1210,22.4906
1220,22.6045
1230,22.7137
1240,22.818
1250,22.9171
1260,23.011
1270,23.0995
1280,23.1826
1290,23.2602
1300,6.05765
1310,5.70636
1320,5.35673
1330,5.0094
1340,5.40057
1350,5.06969
1360,4.74425
1370,4.42522
1380,3.32684
1390,3.00518
1400,2.68987
1410,3.25231
1420,4.46608
1430,4.45464
1440,4.45785
1450,4.47398
1460,0.960506
1470,4.5376
1480,0.458428
1490,0.223525
1500,0
1510,0.212183
1520,0.413579
1530,0.604618
1540,0.785699
1550,17.705
1560,17.5955
1570,17.491
1580,17.3915
1590,17.2968
1600,17.2066
1610,17.1207
1620,16.5191
1630,16.594
1640,16.665
1650,16.7322
1660,16.7962
1670,16.8572
1680,16.9156
1690,1.2131
1700,1.28868
1710,1.36195
1720,1.43324
1730,2.90414
1740,2.97635
1750,3.04773
1760,1.70623
1770,1.77352
1780,3.26136
1790,1.91014
1800,1.98039
1810,2.05261
1820,2.12729
1830,2.20491
1840,2.286
1850,2.37106
1860,2.46058
1870,2.55515
1880,1.94115
1890,1.82468
1900,1.7014
1910,1.57094
1920,1.43285
1930,1.70383
1940,1.13196
1950,0.968246
1960,0.795123
1970,0.61218
1980,0.418957
1990,0.215072
