Time,Entropy
0,2.83346
10,2.83448
20,2.8361
30,2.83198
40,2.83297
50,2.82716
60,2.82378
70,2.83162
80,2.83536
90,2.83468
100,2.84238
110,2.83052
120,2.81707
130,2.8098
140,2.8037
150,2.77539
160,2.7578
170,2.74116
180,2.72684
190,2.7279
200,2.7294
210,2.73199
220,2.75091
230,2.74979
240,2.76592
250,2.7737
260,2.77692
270,2.79044
280,2.79238
290,2.81412
300,2.82512
310,2.79699
320,2.75885
330,2.72858
340,2.69754
350,2.6879
360,2.68931
370,2.67358
380,2.66477
390,2.68019
400,2.69647
410,2.69975
420,2.69389
430,2.70541
440,2.7234
450,2.73029
460,2.7641
470,2.78665
480,2.79362
490,2.78226
500,2.78686
510,2.78214
520,2.76913
530,2.76074
540,2.73561
550,2.71348
560,2.70886
570,2.69332
580,2.69646
590,2.71478
600,2.72914
610,2.72869
620,2.70745
630,2.67519
640,2.67905
650,2.68607
660,2.69099
670,2.67528
680,2.66587
690,2.66873
700,2.67371
710,2.68857
720,2.69476
730,2.70526
740,2.69362
750,2.69241
760,2.69793
770,2.72041
780,2.70965
790,2.72723
800,2.73321
810,2.74328
820,2.76571
830,2.78437
840,2.79286
850,2.80197
860,2.8159
870,2.8229
880,2.87398
890,2.83956
900,2.83665
910,2.85709
920,2.87181
930,2.88996
940,2.88603
950,2.9081
960,2.91821
970,2.91743
980,2.91745
990,2.90884
1000,2.9392
1010,2.91028
1020,2.9142
1030,2.90835
1040,2.88349
1050,2.91078
1060,2.9058
1070,2.89322
1080,2.88437
1090,2.84078
1100,2.82399
1110,2.80811
1120,2.79345
1130,2.77886
1140,2.72382
1150,2.71757
1160,2.71261
1170,2.67881
1180,2.64032
1190,2.57371
1200,2.5276
1210,2.46213
1220,2.49863
1230,2.45856
1240,2.46246
1250,2.47146
1260,2.49887
1270,2.53719
1280,2.57131
1290,2.59058
1300,2.65037
1310,2.70137
1320,2.71329
1330,2.71461
1340,2.70674
1350,2.72263
1360,2.74727
1370,2.78481
1380,2.81458
1390,2.84397
1400,2.85169
1410,2.88191
1420,2.84931
1430,2.8729
1440,2.8536
1450,2.90381
1460,2.91297
1470,2.85423
1480,2.85405
1490,2.87556
1500,2.87377
1510,2.84791
1520,2.83009
1530,2.83378
1540,2.81848
1550,2.79953
1560,2.80343
1570,2.80835
1580,2.80834
1590,2.81824
1600,2.82727
1610,2.8038
1620,2.79081
1630,2.76379
1640,2.76057
1650,2.76719
1660,2.76449
1670,2.76008
1680,2.75694
1690,2.746
1700,2.76237
1710,2.75476
1720,2.75501
1730,2.73125
1740,2.7145
1750,2.71471
1760,2.71675
1770,2.71505
1780,2.72742
1790,2.70978
1800,2.68679
1810,2.65309
1820,2.65274
1830,2.6501
1840,2.63624
1850,2.62836
1860,2.61302
1870,2.59909
1880,2.58947
1890,2.59297
1900,2.60867
1910,2.62442
1920,2.62487
1930,2.62541
1940,2.60501
1950,2.59469
1960,2.58578
1970,2.54866
1980,2.51733
1990,2.52299
2000,2.54931
2010,2.59656
2020,2.57268
2030,2.48295
2040,2.46799
2050,2.48019
2060,2.42899
2070,2.39808
2080,2.33364
2090,2.30065
2100,2.26128
2110,2.21427
2120,2.21983
2130,2.13836
2140,2.13863
2150,2.12346
2160,2.11512
2170,2.14097
2180,2.10546
2190,2.08809
2200,2.11124
2210,2.12664
2220,2.16911
2230,2.22773
2240,2.29371
2250,2.34615
2260,2.38128
2270,2.40098
2280,2.42996
2290,2.44023
2300,2.46211
2310,2.48248
2320,2.48654
2330,2.49293
2340,2.50429
2350,2.51106
2360,2.54168
2370,2.56268
2380,2.57778
2390,2.60079
2400,2.61746
2410,2.64937
2420,2.6861
2430,2.71113
2440,2.72711
2450,2.74271
2460,2.75858
2470,2.77612
2480,2.79861
2490,2.80871
2500,2.81205
2510,2.81686
2520,2.82022
2530,2.82938
2540,2.83845
2550,2.8427
2560,2.83276
2570,2.84868
2580,2.84955
2590,2.87008
2600,2.89279
2610,2.89131
2620,2.90034
2630,2.89965
2640,2.89601
2650,2.88908
2660,2.87819
2670,2.87491
2680,2.85506
2690,2.85985
2700,2.8665
2710,2.87633
2720,2.88066
2730,2.8872
2740,2.90993
2750,2.91366
2760,2.91076
2770,2.91578
2780,2.92909
2790,2.94403
2800,2.96713
2810,2.97741
2820,2.99626
2830,3.00094
2840,3.04179
2850,3.07606
2860,3.10734
