Time,X,Y,Z
1640,-7.65159,2.09355,-9.0039
1650,-7.57446,2.11659,-9.06353
1660,-7.50048,2.13782,-9.1199
1670,-7.42939,2.15723,-9.17336
1680,-7.36091,2.17481,-9.22427
1690,-7.29475,2.19054,-9.27299
1700,-7.23058,2.20441,-9.31983
1710,-7.1681,2.2164,-9.36514
1720,-7.10698,2.22648,-9.40923
1730,-7.04688,2.23463,-9.4524
1740,-6.98746,2.24082,-9.49495
1750,-6.92837,2.24503,-9.53717
1760,-6.86924,2.24722,-9.57933
1770,-6.80971,2.24737,-9.6217
1780,-6.7494,2.24545,-9.66455
1790,-6.68794,2.24142,-9.70811
1800,-6.62494,2.23525,-9.75263
1810,-6.56,2.2269,-9.79834
1820,-6.49271,2.21634,-9.84543
1830,-6.42268,2.20351,-9.89413
1840,-6.34949,2.18838,-9.9446
1850,-6.27271,2.17089,-9.99702
1860,-6.19191,2.15098,-10.0515
1870,-6.10666,2.1286,-10.1083
1880,-6.01652,2.10367,-10.1674
1890,-5.92102,2.07612,-10.2289
1900,-5.8197,2.04586,-10.293
1910,-5.7121,2.01279,-10.3596
1920,-5.59774,1.9768,-10.4287
1930,-5.47613,1.93778,-10.5003
1940,-5.34678,1.89559,-10.5744
1950,-5.20919,1.85008,-10.6509
1960,-5.06284,1.80108,-10.7296
1970,-4.90724,1.74842,-10.8103
1980,-4.74186,1.69189,-10.8928
1990,-4.56619,1.63126,-10.9767
2000,-4.3797,1.56631,-11.0619
2010,-4.18374,1.49438,-11.1473
2020,-3.98005,1.41313,-11.2322
2030,-3.7688,1.32281,-11.3158
2040,-3.55013,1.22368,-11.3973
2050,-3.32424,1.11597,-11.4762
2060,-3.09133,0.999984,-11.5518
2070,-2.85163,0.876013,-11.6233
2080,-2.60539,0.744364,-11.6901
2090,-2.35289,0.605372,-11.7515
2100,-2.09444,0.459383,-11.8069
2110,-1.83036,0.306762,-11.8556
2120,-1.56101,0.147895,-11.8971
2130,-1.28678,-0.0168164,-11.9308
2140,-1.00807,-0.186952,-11.9561
2150,-0.7253,-0.362075,-11.9726
2160,-0.438929,-0.541733,-11.9797
2170,-0.149426,-0.725459,-11.9771
2180,0.14272,-0.912774,-11.9644
2190,0.437004,-1.10318,-11.9412
2200,0.732907,-1.2962,-11.9073
2210,1.0299,-1.49129,-11.8624
2220,1.32744,-1.68796,-11.8063
2230,1.62498,-1.88569,-11.739
2240,1.92199,-2.08395,-11.6603
2250,2.2179,-2.28223,-11.5703
2260,2.51218,-2.48001,-11.469
2270,2.80429,-2.67678,-11.3565
2280,3.09369,-2.87205,-11.233
2290,3.37989,-3.06532,-11.0987
2300,3.66238,-3.25612,-10.9537
2310,3.94068,-3.44398,-10.7986
2320,4.21433,-3.62846,-10.6336
2330,4.4829,-3.80912,-10.4592
2340,4.74598,-3.98558,-10.2757
2350,5.00319,-4.15743,-10.0838
2360,5.2542,-4.32432,-9.88401
2370,5.49867,-4.48592,-9.67684
