Time,Entropy
4110,3.3501
4120,3.35094
4130,3.35287
4140,3.3582
4150,3.35606
4160,3.35681
4170,3.35254
4180,3.35362
4190,3.35593
4200,3.36627
4210,3.37006
4220,3.36187
4230,3.35211
4240,3.35173
4250,3.35392
4260,3.35499
4270,3.34907
4280,3.34175
4290,3.34616
4300,3.35137
4310,3.34916
4320,3.35614
4330,3.35469
4340,3.34729
4350,3.32974
4360,3.32437
4370,3.31953
4380,3.31577
4390,3.32175
4400,3.32726
4410,3.33076
4420,3.33462
4430,3.33826
4440,3.33814
4450,3.332
4460,3.32758
4470,3.32644
4480,3.3257
4490,3.33804
4500,3.33885
4510,3.33833
4520,3.33706
4530,3.33442
4540,3.32895
4550,3.33372
4560,3.33232
4570,3.33082
4580,3.33019
4590,3.33444
4600,3.33706
4610,3.34591
4620,3.35139
4630,3.3575
4640,3.36166
4650,3.37332
4660,3.39143
4670,3.39572
4680,3.39458
4690,3.38989
4700,3.37983
4710,3.36833
4720,3.36142
4730,3.35242
4740,3.36164
4750,3.36352
4760,3.36823
4770,3.36907
4780,3.36402
4790,3.35391
4800,3.34397
4810,3.34198
4820,3.33639
4830,3.33298
4840,3.32859
4850,3.31812
4860,3.32699
4870,3.31666
4880,3.32014
4890,3.31833
4900,3.31901
4910,3.31155
4920,3.31348
4930,3.30813
4940,3.30654
4950,3.29485
4960,3.29172
4970,3.2975
4980,3.29546
4990,3.30003
5000,3.30518
5010,3.31267
5020,3.31988
5030,3.32412
5040,3.32898
5050,3.33146
5060,3.33624
5070,3.33846
5080,3.34137
5090,3.34976
5100,3.36346
5110,3.37189
5120,3.37842
5130,3.38625
5140,3.38794
5150,3.3884
5160,3.3843
5170,3.3735
5180,3.3635
5190,3.33504
5200,3.32761
5210,3.32093
5220,3.31373
5230,3.31061
5240,3.30625
5250,3.30317
5260,3.29179
5270,3.28094
5280,3.27885
5290,3.27956
5300,3.28211
5310,3.28049
5320,3.28129
5330,3.27257
5340,3.27153
5350,3.2714
5360,3.28091
5370,3.29304
5380,3.31184
5390,3.32561
5400,3.33907
5410,3.34349
5420,3.35252
5430,3.35914
5440,3.36459
5450,3.36755
5460,3.37599
5470,3.37991
5480,3.37776
5490,3.3778
5500,3.36808
5510,3.35769
5520,3.34764
5530,3.33939
5540,3.34275
5550,3.34227
5560,3.34148
5570,3.33365
5580,3.32746
5590,3.33236
5600,3.33142
5610,3.32544
5620,3.32254
5630,3.31767
5640,3.31093
5650,3.31046
5660,3.31265
5670,3.30685
5680,3.29167
5690,3.28461
5700,3.28421
5710,3.27074
5720,3.26153
5730,3.25522
5740,3.24675
5750,3.24463
5760,3.22442
5770,3.21981
5780,3.21984
5790,3.21143
5800,3.21104
5810,3.21765
5820,3.22212
5830,3.22776
5840,3.2231
5850,3.22329
5860,3.22284
5870,3.21251
5880,3.20491
5890,3.18567
5900,3.17324
5910,3.16718
5920,3.16794
5930,3.18022
5940,3.19852
5950,3.21714
5960,3.23959
5970,3.25166
5980,3.27002
5990,3.27879
6000,3.29094
6010,3.29261
6020,3.29226
6030,3.29049
6040,3.28587
6050,3.2845
6060,3.28201
6070,3.28567
6080,3.28822
6090,3.29242
6100,3.29678
6110,3.31276
6120,3.32253
6130,3.33072
6140,3.33467
6150,3.34176
6160,3.33929
6170,3.34462
6180,3.34609
6190,3.34738
6200,3.34594
6210,3.35515
6220,3.35242
6230,3.3489
6240,3.34111
6250,3.3397
6260,3.32211
6270,3.30848
6280,3.30207
6290,3.29478
6300,3.29331
6310,3.30165
6320,3.31251
6330,3.31759
6340,3.3235
6350,3.31765
6360,3.29982
6370,3.28708
6380,3.24618
6390,3.20621
6400,3.16765
6410,3.13286
6420,3.10778
6430,3.09946
6440,3.08814
6450,3.07037
6460,3.06081
6470,3.07217
6480,3.08754
6490,3.10366
6500,3.09695
6510,3.09137
6520,3.0939
6530,3.1024
6540,3.11615
6550,3.12056
6560,3.11153
6570,3.11073
6580,3.11
6590,3.11289
6600,3.12499
6610,3.13545
6620,3.14826
6630,3.14697
6640,3.15046
6650,3.16323
6660,3.17293
6670,3.18674
6680,3.19665
6690,3.21317
6700,3.21592
6710,3.224
6720,3.22591
6730,3.22083
6740,3.21941
6750,3.22276
6760,3.24273
6770,3.27139
6780,3.28332
6790,3.27966
6800,3.28806
6810,3.2937
6820,3.30312
6830,3.3074
6840,3.29921
6850,3.29352
6860,3.29166
6870,3.29079
6880,3.28842
6890,3.28679
6900,3.27926
6910,3.27081
6920,3.27118
6930,3.2748
6940,3.27582
6950,3.27958
6960,3.26791
6970,3.25861
6980,3.26121
6990,3.25887
7000,3.24113
7010,3.22475
7020,3.20145
7030,3.15978
7040,3.14057
7050,3.13162
7060,3.1241
7070,3.11326
7080,3.10544
7090,3.10984
7100,3.1098
7110,3.11009
7120,3.11458
7130,3.12264
7140,3.12615
7150,3.1291
7160,3.13251
7170,3.14931
7180,3.15965
7190,3.16156
7200,3.17045
7210,3.17704
7220,3.18886
7230,3.19626
7240,3.2024
7250,3.21027
7260,3.21498
7270,3.21745
7280,3.22078
7290,3.2191
7300,3.22324
7310,3.219
7320,3.22171
7330,3.20124
7340,3.19437
7350,3.18066
7360,3.17744
7370,3.17902
7380,3.17924
7390,3.17608
7400,3.17842
7410,3.18865
7420,3.19128
7430,3.19071
7440,3.19014
7450,3.18635
7460,3.18257
7470,3.18421
7480,3.18555
7490,3.19164
7500,3.19696
7510,3.19616
7520,3.19834
7530,3.19603
7540,3.19068
7550,3.19193
7560,3.18837
7570,3.1779
7580,3.17778
7590,3.17315
7600,3.17194
7610,3.17185
7620,3.17751
7630,3.1834
7640,3.19767
7650,3.2194
7660,3.235
7670,3.23631
7680,3.24394
7690,3.24582
7700,3.25005
7710,3.24028
7720,3.24076
7730,3.23177
7740,3.23652
7750,3.24907
7760,3.26153
7770,3.27261
7780,3.28816
7790,3.30687
7800,3.32204
7810,3.34204
7820,3.35379
7830,3.3583
7840,3.35285
7850,3.35383
7860,3.36266
7870,3.37565
7880,3.37585
7890,3.37598
7900,3.37411
7910,3.37168
7920,3.3651
7930,3.36219
7940,3.36078
7950,3.34953
7960,3.34439
7970,3.33921
7980,3.33985
7990,3.34269
8000,3.33842
8010,3.34428
8020,3.34552
8030,3.34348
8040,3.34695
8050,3.34282
8060,3.34296
8070,3.3312
8080,3.33422
8090,3.33323
8100,3.33873
8110,3.34801
8120,3.35797
8130,3.36934
8140,3.37633
8150,3.37901
8160,3.37709
8170,3.37248
8180,3.37617
8190,3.37139
8200,3.36041
8210,3.35454
8220,3.35501
8230,3.35445
8240,3.34443
8250,3.31645
8260,3.29342
8270,3.27039
8280,3.24906
8290,3.23756
8300,3.2242
8310,3.21285
8320,3.2019
8330,3.19308
8340,3.17723
8350,3.16051
8360,3.15892
8370,3.16346
8380,3.15725
8390,3.16216
8400,3.16322
8410,3.16131
8420,3.15933
8430,3.16505
8440,3.17304
8450,3.17251
8460,3.17752
8470,3.18254
8480,3.19246
8490,3.20283
8500,3.19451
8510,3.18582
8520,3.18293
8530,3.17382
8540,3.1666
8550,3.16259
8560,3.17902
8570,3.19144
8580,3.19624
8590,3.19894
8600,3.19934
8610,3.19554
8620,3.19864
8630,3.21028
8640,3.21102
8650,3.21569
8660,3.23771
8670,3.26477
8680,3.27172
8690,3.27774
8700,3.28015
8710,3.2756
8720,3.26638
8730,3.25756
8740,3.25452
8750,3.25009
8760,3.23635
8770,3.22452
8780,3.21458
8790,3.19628
8800,3.19962
8810,3.20862
8820,3.20811
8830,3.20687
8840,3.19952
8850,3.19952
8860,3.19841
8870,3.20265
8880,3.20193
8890,3.20458
8900,3.21102
8910,3.20785
8920,3.20895
8930,3.21979
8940,3.23199
8950,3.26656
8960,3.29082
8970,3.30477
8980,3.31022
8990,3.31989
9000,3.31865
9010,3.32044
9020,3.31866
9030,3.31543
9040,3.31601
9050,3.32476
9060,3.3342
9070,3.33612
9080,3.33489
9090,3.32627
9100,3.32016
9110,3.31857
9120,3.31876
9130,3.306
9140,3.30222
9150,3.28835
9160,3.27801
9170,3.27162
9180,3.27486
9190,3.27391
9200,3.29357
9210,3.29933
9220,3.30419
9230,3.29701
9240,3.2899
9250,3.27747
9260,3.27271
9270,3.27449
9280,3.27283
9290,3.27499
9300,3.27408
9310,3.26661
9320,3.27384
9330,3.27164
9340,3.27673
9350,3.28958
9360,3.3025
9370,3.31184
9380,3.32384
9390,3.33335
9400,3.34129
9410,3.34455
9420,3.34281
9430,3.35333
9440,3.36753
9450,3.37954
9460,3.38356
9470,3.39069
9480,3.39209
9490,3.38231
9500,3.37433
9510,3.36057
9520,3.34709
9530,3.33085
9540,3.31598
9550,3.29911
9560,3.29086
9570,3.27942
9580,3.27738
9590,3.25678
9600,3.24123
9610,3.22598
9620,3.20204
9630,3.18035
9640,3.15761
9650,3.15836
9660,3.15957
9670,3.15803
9680,3.14489
9690,3.14427
9700,3.14701
9710,3.1482
9720,3.15374
9730,3.16104
9740,3.16879
9750,3.18794
9760,3.19434
9770,3.2104
9780,3.2218
9790,3.22984
9800,3.24126
9810,3.24225
9820,3.25116
9830,3.25368
9840,3.25345
9850,3.26185
9860,3.26591
9870,3.28026
9880,3.28391
9890,3.28596
9900,3.28868
9910,3.28978
9920,3.28842
9930,3.28687
9940,3.29181
9950,3.29411
9960,3.29777
9970,3.31432
9980,3.32338
9990,3.32517
10000,3.31923
10010,3.30362
10020,3.30607
10030,3.30249
10040,3.2878
10050,3.27592
10060,3.25371
10070,3.24574
10080,3.23327
10090,3.22185
10100,3.21844
10110,3.20541
10120,3.20654
10130,3.20899
10140,3.21631
10150,3.2258
10160,3.22972
10170,3.23396
10180,3.24249
10190,3.25287
10200,3.26762
10210,3.27617
10220,3.27886
10230,3.29104
10240,3.29532
10250,3.28703
10260,3.27799
10270,3.26775
10280,3.26944
10290,3.26839
10300,3.27702
10310,3.29326
10320,3.29583
10330,3.292
10340,3.29059
10350,3.29712
10360,3.30416
10370,3.30345
10380,3.30248
10390,3.29993
10400,3.30251
10410,3.30995
10420,3.30337
10430,3.28596
10440,3.27698
10450,3.23872
10460,3.20003
10470,3.17132
10480,3.16358
10490,3.14902
10500,3.12909
10510,3.11127
10520,3.09803
10530,3.10208
10540,3.09259
10550,3.07393
10560,3.05447
10570,3.05377
10580,3.04202
10590,3.03777
10600,3.03694
10610,3.03153
10620,3.04294
10630,3.04701
10640,3.05088
10650,3.04623
10660,3.05444
10670,3.07149
10680,3.08468
10690,3.08572
10700,3.08368
10710,3.09681
10720,3.10155
10730,3.11319
10740,3.12265
10750,3.12999
10760,3.14281
10770,3.14937
10780,3.16007
10790,3.16521
