L-C7H15            2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
N-C7H16            2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
L-C7H15O2          2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
R5-HEOOH-P         2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
R5-HEOOH-S         2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
R6-HEOOH-P         2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
R6-HEOOH-S         2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
R7-HEOOH-P         2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
R7-HEOOH-S         2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
R5-HEOOHO2-P       2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
R5-HEOOHO2-S       2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
R6-HEOOHO2-P       2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
R6-HEOOHO2-S       2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
R7-HEOOHO2-P       2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
R7-HEOOHO2-S       2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
R5-O-HEPOOH-P      2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
R5-O-HEPOOH-S      2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
R6-O-HEPOOH-P      2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
R6-O-HEPOOH-S      2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
R7-O-HEPOOH-P      2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
R7-O-HEPOOH-S      2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
C5H10-1            1 0.357D+03 0.518D+01 0.000D+00 0.000D+00 0.100D+01
R5-C7H14O          1 0.252D+03 0.476D+01 0.000D+00 0.000D+00 0.100D+01
N-C5H11CHO         2 0.499D+03 0.601D+01 0.200D+01 0.000D+00 0.100D+01
N-C5H11CO          2 0.499D+03 0.601D+01 0.200D+01 0.000D+00 0.100D+01
N-C4H9COCH2        2 0.534D+03 0.562D+01 0.000D+00 0.000D+00 0.000D+00
N-C3H7CHO          2 0.464D+03 0.501D+01 0.260D+01 0.000D+00 0.100D+01
N-C3H7CO           2 0.464D+03 0.501D+01 0.260D+01 0.000D+00 0.100D+01
N-C3H7COCH2        2 0.489D+03 0.535D+01 0.000D+00 0.000D+00 0.000D+00
C2H5CHO            2 0.435D+03 0.466D+01 0.270D+01 0.000D+00 0.100D+01
C2H5CO             2 0.425D+03 0.482D+01 0.000D+00 0.000D+00 0.100D+01
C2H5COCH2          2 0.454D+03 0.541D+01 0.330D+01 0.000D+00 0.100D+01
C2H5COCH3          2 0.454D+03 0.541D+01 0.330D+01 0.000D+00 0.100D+01
CH2CH2COCH3        2 0.441D+03 0.504D+01 0.000D+00 0.000D+00 0.000D+00
C2H4COC2H5-1       2 0.489D+03 0.535D+01 0.000D+00 0.000D+00 0.000D+00
CH2CH2CHO          2 0.425D+03 0.482D+01 0.000D+00 0.000D+00 0.100D+01
CH3COCH2           2 0.436D+03 0.486D+01 0.000D+00 0.000D+00 0.100D+01
N-C3H7COC2H4-1     2 0.534D+03 0.562D+01 0.000D+00 0.000D+00 0.000D+00
CH3CHCOCH3         2 0.441D+03 0.504D+01 0.000D+00 0.000D+00 0.000D+00
C2H5O2             2 0.252D+03 0.430D+01 0.000D+00 0.000D+00 0.150D+01
C2H4O2H            2 0.471D+03 0.441D+01 0.000D+00 0.000D+00 0.150D+01
N-C3H7O2           2 0.482D+03 0.500D+01 0.170D+01 0.000D+00 0.100D+01
I-C3H7O2           2 0.460D+03 0.504D+01 0.170D+01 0.000D+00 0.100D+01
A1C2HAC            2 0.630D+03 0.618D+01 0.000D+00 0.000D+00 0.100D+01
A2-X               2 0.630D+03 0.618D+01 0.000D+00 0.000D+00 0.100D+01
A2                 2 0.630D+03 0.618D+01 0.000D+00 0.000D+00 0.100D+01
A2R5               2 0.693D+03 0.647D+01 0.000D+00 0.000D+00 0.100D+01
A2R5-              2 0.693D+03 0.647D+01 0.000D+00 0.000D+00 0.100D+01
A2R5C2H            2 0.835D+03 0.724D+01 0.000D+00 0.000D+00 0.100D+01
A2R5C2H*           2 0.835D+03 0.724D+01 0.000D+00 0.000D+00 0.100D+01
ANC2HAC            2 0.835D+03 0.724D+01 0.000D+00 0.000D+00 0.100D+01
A3R5-              2 0.835D+03 0.724D+01 0.000D+00 0.000D+00 0.100D+01
A3R5               2 0.835D+03 0.724D+01 0.000D+00 0.000D+00 0.100D+01
N                  0 0.714D+02 0.330D+01 0.000D+00 0.000D+00 0.000D+00
NO                 1 0.975D+02 0.362D+01 0.000D+00 0.176D+01 0.400D+01
NO2                2 0.200D+03 0.350D+01 0.000D+00 0.000D+00 0.100D+01
