Time,Entropy
4110,3.3489
4120,3.35411
4130,3.3579
4140,3.36192
4150,3.36974
4160,3.37066
4170,3.36031
4180,3.36582
4190,3.36233
4200,3.36627
4210,3.37405
4220,3.32872
4230,3.26108
4240,3.2426
4250,3.23548
4260,3.2307
4270,3.26984
4280,3.3236
4290,3.34153
4300,3.35137
4310,3.35467
4320,3.34733
4330,3.34955
4340,3.33494
4350,3.32096
4360,3.31745
4370,3.30707
4380,3.30692
4390,3.31537
4400,3.32726
4410,3.32596
4420,3.32006
4430,3.30897
4440,3.29942
4450,3.28554
4460,3.28853
4470,3.30291
4480,3.32386
4490,3.34162
4500,3.33885
4510,3.32693
4520,3.33316
4530,3.32511
4540,3.31672
4550,3.31314
4560,3.31203
4570,3.3055
4580,3.30263
4590,3.31864
4600,3.33706
4610,3.33272
4620,3.34553
4630,3.34857
4640,3.34438
4650,3.33981
4660,3.35279
4670,3.38878
4680,3.39071
4690,3.39059
4700,3.37983
4710,3.37108
4720,3.35869
4730,3.34489
4740,3.33736
4750,3.35233
4760,3.33074
4770,3.33674
4780,3.34442
4790,3.34741
4800,3.34397
4810,3.34266
4820,3.32917
4830,3.31026
4840,3.30479
4850,3.26875
4860,3.2807
4870,3.31679
4880,3.32771
4890,3.31893
4900,3.31901
4910,3.30991
4920,3.2897
4930,3.25791
4940,3.20721
4950,3.20336
4960,3.2223
4970,3.25462
4980,3.2778
4990,3.29929
5000,3.30518
5010,3.31046
5020,3.31333
5030,3.31529
5040,3.31867
5050,3.32011
5060,3.33192
5070,3.33372
5080,3.33243
5090,3.34751
5100,3.36346
5110,3.3666
5120,3.36258
5130,3.36057
5140,3.37888
5150,3.37068
5160,3.35895
5170,3.34654
5180,3.34592
5190,3.32985
5200,3.32761
5210,3.31928
5220,3.31987
5230,3.30816
5240,3.29643
5250,3.29097
5260,3.28663
5270,3.27879
5280,3.27483
5290,3.27668
5300,3.28211
5310,3.28119
5320,3.2665
5330,3.2441
5340,3.17673
5350,3.10126
5360,3.09797
5370,3.17556
5380,3.26964
5390,3.31034
5400,3.33907
5410,3.35247
5420,3.35843
5430,3.36488
5440,3.37236
5450,3.37695
5460,3.38588
5470,3.38982
5480,3.38509
5490,3.37928
5500,3.36808
5510,3.35586
5520,3.34322
5530,3.32974
5540,3.32074
5550,3.31173
5560,3.30123
5570,3.29747
5580,3.29346
5590,3.31647
5600,3.33142
5610,3.32969
5620,3.3059
5630,3.27028
5640,3.22034
5650,3.18301
5660,3.1706
5670,3.20288
5680,3.24554
5690,3.26826
5700,3.28421
5710,3.26535
5720,3.25523
5730,3.23868
5740,3.21666
5750,3.21067
5760,3.19566
5770,3.19191
5780,3.19354
5790,3.19833
5800,3.21104
5810,3.2215
5820,3.22367
5830,3.21745
5840,3.2032
5850,3.16779
5860,3.15967
5870,3.14753
5880,3.16896
5890,3.1732
5900,3.17324
5910,3.16427
5920,3.16512
5930,3.17508
5940,3.18761
5950,3.19233
5960,3.21469
5970,3.23096
5980,3.24532
5990,3.27066
6000,3.29094
6010,3.29109
6020,3.29316
6030,3.29082
6040,3.28507
6050,3.28138
6060,3.28408
6070,3.28093
6080,3.28095
6090,3.28934
6100,3.29678
6110,3.30449
6120,3.31478
6130,3.31032
6140,3.31146
6150,3.32943
6160,3.33592
6170,3.3352
6180,3.3272
6190,3.31793
6200,3.34594
6210,3.36161
6220,3.35977
6230,3.34206
6240,3.32774
6250,3.30966
6260,3.29383
6270,3.28522
6280,3.29236
6290,3.29613
6300,3.29331
6310,3.29731
6320,3.29877
6330,3.30382
6340,3.28337
6350,3.27402
6360,3.27312
6370,3.25205
6380,3.23447
6390,3.20749
6400,3.16765
6410,3.0996
6420,3.05197
6430,3.0168
6440,2.92887
6450,2.82342
6460,2.84714
6470,2.96537
6480,3.03904
6490,3.07874
6500,3.09695
6510,3.06192
6520,2.99127
6530,2.94272
6540,2.98873
6550,3.02098
6560,3.04082
6570,3.00418
6580,3.04871
6590,3.0953
6600,3.12499
6610,3.13331
6620,3.12175
6630,3.11229
6640,3.09393
6650,3.11682
6660,3.13797
6670,3.155
6680,3.19293
6690,3.21575
6700,3.21592
6710,3.21958
6720,3.21928
6730,3.22504
6740,3.2252
6750,3.2224
6760,3.23489
6770,3.25941
6780,3.28809
6790,3.28356
6800,3.28806
6810,3.29265
6820,3.30473
6830,3.30149
6840,3.29995
6850,3.29849
6860,3.29749
6870,3.30306
6880,3.29463
6890,3.29042
6900,3.27926
6910,3.26164
6920,3.26763
6930,3.24216
6940,3.20592
6950,3.23299
6960,3.27089
6970,3.26438
6980,3.25071
6990,3.24011
7000,3.24113
7010,3.23373
7020,3.17832
7030,3.07733
7040,3.03458
7050,3.02577
7060,3.08461
7070,3.08734
7080,3.08321
7090,3.09871
7100,3.1098
7110,3.10313
7120,3.09907
7130,3.11411
7140,3.11706
7150,3.05944
7160,3.03299
7170,3.06823
7180,3.13068
7190,3.15466
7200,3.17045
7210,3.17345
7220,3.18193
7230,3.17873
7240,3.11562
7250,3.11498
7260,3.1293
7270,3.10793
7280,3.17625
7290,3.19903
7300,3.22324
7310,3.22706
7320,3.22062
7330,3.19492
7340,3.18643
7350,3.18418
7360,3.17944
7370,3.18179
7380,3.17683
7390,3.17931
7400,3.17842
7410,3.18616
7420,3.18939
7430,3.19182
7440,3.1861
7450,3.1863
7460,3.18639
7470,3.18905
7480,3.1958
7490,3.19455
7500,3.19696
7510,3.18408
7520,3.14108
7530,3.08871
7540,3.07122
7550,3.09456
7560,3.13115
7570,3.14542
7580,3.16532
7590,3.16689
7600,3.17194
7610,3.15931
7620,3.14852
7630,3.13083
7640,3.09177
7650,3.14472
7660,3.13946
7670,3.15201
7680,3.21634
7690,3.24053
7700,3.25005
7710,3.23889
7720,3.24
7730,3.20691
7740,3.13694
7750,3.10609
7760,3.13982
7770,3.14627
7780,3.22642
7790,3.27961
7800,3.32204
7810,3.33042
7820,3.33774
7830,3.34501
7840,3.34921
7850,3.35505
7860,3.36004
7870,3.37637
7880,3.37486
7890,3.37279
7900,3.37411
7910,3.37182
7920,3.36131
7930,3.35245
7940,3.34877
7950,3.34017
7960,3.32807
7970,3.32541
7980,3.33237
7990,3.3377
8000,3.33842
8010,3.35559
8020,3.35697
8030,3.34537
8040,3.31871
8050,3.32663
8060,3.33622
8070,3.32333
8080,3.32967
8090,3.32527
8100,3.33873
8110,3.35264
8120,3.36055
8130,3.36447
8140,3.36152
8150,3.3648
8160,3.36676
8170,3.36985
8180,3.37546
8190,3.3687
8200,3.36041
8210,3.3502
8220,3.34061
8230,3.32257
8240,3.29804
8250,3.27639
8260,3.2463
8270,3.22472
8280,3.21398
8290,3.22465
8300,3.2242
8310,3.21526
8320,3.17964
8330,3.14284
8340,3.12039
8350,3.07887
8360,3.08718
8370,3.11406
8380,3.11577
8390,3.13027
8400,3.16322
8410,3.13567
8420,3.09056
8430,3.04402
8440,3.04257
8450,3.06696
8460,3.08861
8470,3.11775
8480,3.13214
8490,3.1536
8500,3.19451
8510,3.16257
8520,3.14085
8530,3.13426
8540,3.14123
8550,3.11252
8560,3.14884
8570,3.18082
8580,3.20328
8590,3.19542
8600,3.19934
8610,3.18976
8620,3.18763
8630,3.14706
8640,3.12115
8650,3.0448
8660,3.01373
8670,3.08218
8680,3.21021
8690,3.25302
8700,3.28015
8710,3.27972
8720,3.26038
8730,3.21861
8740,3.22403
8750,3.21942
8760,3.20371
8770,3.20026
8780,3.19281
8790,3.19742
8800,3.19962
8810,3.21193
8820,3.20688
8830,3.18595
8840,3.14341
8850,3.11095
8860,3.10244
8870,3.15004
8880,3.1742
8890,3.19337
8900,3.21102
8910,3.20669
8920,3.20047
8930,3.20551
8940,3.20516
8950,3.20628
8960,3.19863
8970,3.27679
8980,3.30831
8990,3.3213
9000,3.31865
9010,3.31707
9020,3.32412
9030,3.31641
9040,3.31382
9050,3.31226
9060,3.32145
9070,3.32545
9080,3.32469
9090,3.31932
9100,3.32016
9110,3.32487
9120,3.29719
9130,3.22499
9140,3.21176
9150,3.20337
9160,3.20974
9170,3.23197
9180,3.27786
9190,3.27005
9200,3.29357
9210,3.28474
9220,3.28643
9230,3.28182
9240,3.28091
9250,3.27854
9260,3.27747
9270,3.27331
9280,3.27559
9290,3.27585
9300,3.27408
9310,3.26698
9320,3.26584
9330,3.2685
9340,3.27415
9350,3.28804
9360,3.29888
9370,3.31055
9380,3.32113
9390,3.33253
9400,3.34129
9410,3.34338
9420,3.3438
9430,3.34304
9440,3.34879
9450,3.36298
9460,3.37198
9470,3.39098
9480,3.38883
9490,3.38074
9500,3.37433
9510,3.36521
9520,3.35151
9530,3.33535
9540,3.31975
9550,3.30436
9560,3.28504
9570,3.27376
9580,3.25498
9590,3.23982
9600,3.24123
9610,3.20989
9620,3.15484
9630,3.07139
9640,2.9766
9650,3.06026
9660,3.11412
9670,3.1541
9680,3.11764
9690,3.12895
9700,3.14701
9710,3.133
9720,3.14297
9730,3.15597
9740,3.15372
9750,3.16029
9760,3.159
9770,3.19568
9780,3.22151
9790,3.23337
9800,3.24126
9810,3.23965
9820,3.23664
9830,3.23303
9840,3.23216
9850,3.23198
9860,3.25848
9870,3.28132
9880,3.28504
9890,3.29
9900,3.28868
9910,3.28855
9920,3.28943
9930,3.28522
9940,3.28328
9950,3.28105
9960,3.28156
9970,3.27641
9980,3.31018
9990,3.32919
10000,3.31923
10010,3.29516
10020,3.28841
10030,3.24895
10040,3.15035
10050,3.10465
10060,3.16203
10070,3.20601
10080,3.20986
10090,3.21893
10100,3.21844
10110,3.20714
10120,3.19312
10130,3.17491
