Time,X,Y,Z
0,-6.99308,-1.56631,9.62515
10,-6.99443,-1.56548,9.6243
20,-6.9983,-1.5631,9.62188
30,-7.00439,-1.55935,9.61805
40,-7.01244,-1.55438,9.61299
50,-7.02215,-1.54839,9.60687
60,-7.03325,-1.54153,9.59985
70,-7.04545,-1.53399,9.5921
80,-7.05848,-1.52593,9.58381
90,-7.07205,-1.51753,9.57514
100,-7.08588,-1.50896,9.56627
110,-7.09969,-1.50038,9.55737
120,-7.11321,-1.49198,9.54862
130,-7.12617,-1.48393,9.54022
140,-7.13828,-1.47639,9.53233
150,-7.14927,-1.46954,9.52514
160,-7.15888,-1.46355,9.51885
170,-7.16683,-1.4586,9.51362
180,-7.17284,-1.45484,9.50967
190,-7.17665,-1.45246,9.50716
200,-7.17798,-1.45163,9.50628
210,-7.17656,-1.45252,9.50722
220,-7.17211,-1.4553,9.51015
230,-7.16435,-1.46014,9.51525
240,-7.153,-1.46722,9.5227
250,-7.13777,-1.47671,9.53266
260,-7.11838,-1.48877,9.54527
270,-7.09452,-1.50359,9.5607
280,-7.06589,-1.52134,9.57908
290,-7.03218,-1.54219,9.60052
300,-6.99308,-1.56631,9.62515
310,-6.93732,-1.5945,9.66081
320,-6.85532,-1.62724,9.71374
330,-6.74926,-1.66426,9.7815
340,-6.62125,-1.70529,9.8616
350,-6.47342,-1.75008,9.95148
360,-6.30798,-1.79833,10.0487
370,-6.12716,-1.84976,10.1507
380,-5.93334,-1.90406,10.2552
390,-5.72898,-1.96091,10.3602
400,-5.51669,-2.01996,10.4636
410,-5.29919,-2.08086,10.5635
420,-5.07933,-2.14326,10.6587
430,-4.86005,-2.20678,10.7476
440,-4.6444,-2.27104,10.8292
450,-4.43551,-2.33567,10.9028
460,-4.23656,-2.40027,10.9677
470,-4.05079,-2.46447,11.0235
480,-3.88144,-2.52792,11.07
490,-3.73176,-2.59025,11.107
500,-3.60501,-2.6511,11.1344
510,-3.50438,-2.71014,11.1523
520,-3.43306,-2.76704,11.1605
530,-3.39415,-2.82147,11.1588
540,-3.39068,-2.87313,11.1467
550,-3.42559,-2.92167,11.1234
560,-3.50167,-2.96679,11.0877
570,-3.62158,-3.00814,11.0379
580,-3.78774,-3.04536,10.9717
590,-4.00229,-3.07806,10.8861
600,-4.26697,-3.10583,10.7771
610,-4.58051,-3.12892,10.6409
620,-4.9375,-3.14823,10.4742
630,-5.33288,-3.16428,10.2736
640,-5.76113,-3.17764,10.0355
650,-6.21629,-3.18888,9.75647
660,-6.69196,-3.19854,9.43329
670,-7.18133,-3.20715,9.06325
680,-7.67724,-3.21517,8.64423
690,-8.17224,-3.22299,8.17477
700,-8.65872,-3.23093,7.65425
710,-9.12902,-3.23923,7.08296
720,-9.57555,-3.24802,6.46213
730,-9.99097,-3.25732,5.794
740,-10.3683,-3.26704,5.08177
750,-10.7012,-3.277,4.32961
760,-10.9839,-3.28691,3.54256
770,-11.2116,-3.29637,2.72645
780,-11.3804,-3.30492,1.88778
790,-11.4875,-3.31198,1.03355
800,-11.5312,-3.31696,0.171103
810,-11.511,-3.31918,-0.692041
820,-11.4278,-3.31794,-1.54838
830,-11.2833,-3.31255,-2.3906
840,-11.0806,-3.30231,-3.21176
850,-10.8238,-3.28655,-4.00543
860,-10.518,-3.26466,-4.76586
870,-10.169,-3.23607,-5.48806
880,-9.78342,-3.2003,-6.16788
890,-9.36829,-3.15698,-6.80211
900,-8.9311,-3.10583,-7.38845
910,-8.45418,-3.04603,-7.95289
920,-7.91429,-2.97577,-8.51521
930,-7.31185,-2.89354,-9.06445
940,-6.64873,-2.7981,-9.58984
950,-5.92836,-2.68848,-10.081
960,-5.15564,-2.56408,-10.5283
970,-4.33692,-2.42468,-10.923
980,-3.47983,-2.27048,-11.2577
990,-2.59306,-2.10209,-11.5264
1000,-1.68616,-1.92049,-11.7247
1010,-0.769206,-1.72707,-11.8501
1020,0.147473,-1.52351,-11.902
1030,1.05362,-1.3118,-11.8815
1040,1.93937,-1.09408,-11.7916
1050,2.7955,-0.872666,-11.6372
1060,3.61371,-0.649924,-11.4245
1070,4.38678,-0.428207,-11.1612
1080,5.10876,-0.209802,-10.8562
1090,5.77498,0.00314018,-10.519
1100,6.38214,0.208646,-10.16
1110,6.9282,0.404942,-9.78959
1120,7.4123,0.590484,-9.41856
1130,7.83455,0.763955,-9.05738
1140,8.1959,0.924256,-8.71625
1150,8.49779,1.07049,-8.40486
1160,8.74195,1.20188,-8.13227
1170,8.93004,1.3178,-7.90682
1180,9.06335,1.41762,-7.73602
1190,9.1425,1.50071,-7.62644
1200,9.16706,1.56631,-7.58365
1210,9.12708,1.62083,-7.62032
1220,9.01541,1.67155,-7.74134
1230,8.83332,1.71885,-7.93839
1240,8.58058,1.7629,-8.20158
1250,8.25606,1.80372,-8.51963
1260,7.85834,1.84117,-8.88013
1270,7.38627,1.87495,-9.26971
1280,6.83951,1.90467,-9.67437
1290,6.21892,1.92989,-10.0797
1300,5.52698,1.95013,-10.4714
1310,4.76796,1.96494,-10.8354
1320,3.94806,1.97396,-11.1587
1330,3.07542,1.97689,-11.4295
1340,2.15995,1.9736,-11.6378
1350,1.21308,1.96413,-11.7758
1360,0.247388,1.94868,-11.8381
1370,-0.723821,1.92765,-11.822
1380,-1.68704,1.9016,-11.7277
1390,-2.62903,1.8713,-11.558
1400,-3.53736,1.83763,-11.3186
1410,-4.40081,1.80164,-11.0176
1420,-5.20973,1.76443,-10.6652
1430,-5.9563,1.72719,-10.2732
1440,-6.63467,1.69115,-9.855
1450,-7.24096,1.65752,-9.42449
1460,-7.77312,1.62751,-8.9961
1470,-8.23068,1.60229,-8.58421
1480,-8.61443,1.58297,-8.20279
1490,-8.92594,1.57064,-7.86515
1500,-9.16706,1.56631,-7.58365
1510,-9.35453,1.5714,-7.35007
1520,-9.5068,1.58593,-7.14882
1530,-9.62769,1.60878,-6.97992
1540,-9.72055,1.63887,-6.84288
1550,-9.78827,1.67511,-6.73675
1560,-9.83333,1.71647,-6.66028
1570,-9.85789,1.76188,-6.61193
1580,-9.86382,1.81034,-6.58997
1590,-9.85275,1.86083,-6.59247
1600,-9.82613,1.91232,-6.61742
1610,-9.78528,1.9638,-6.66272
1620,-9.73144,2.01425,-6.72621
1630,-9.66581,2.06266,-6.80569
1640,-9.58959,2.10799,-6.899
1650,-9.50398,2.1492,-7.00395
1660,-9.41024,2.18528,-7.11842
1670,-9.30972,2.21517,-7.24031
1680,-9.20383,2.23782,-7.36761
1690,-9.09407,2.2522,-7.49837
1700,-8.98205,2.25726,-7.6307
1710,-8.86946,2.25196,-7.76282
1720,-8.75809,2.23524,-7.893
1730,-8.64982,2.20608,-8.01959
1740,-8.54657,2.16344,-8.14099
1750,-8.45033,2.10627,-8.25564
1760,-8.36311,2.03355,-8.362
1770,-8.28692,1.94422,-8.45854
1780,-8.22378,1.83727,-8.54365
1790,-8.17561,1.71164,-8.61567
1800,-8.14429,1.56631,-8.67279
1810,-8.13522,1.39623,-8.71027
1820,-8.15008,1.19823,-8.72585
1830,-8.18486,0.974,-8.72121
1840,-8.23534,0.725183,-8.69789
1850,-8.29724,0.453446,-8.65738
1860,-8.36626,0.160527,-8.60116
1870,-8.43821,-0.151715,-8.53074
1880,-8.50906,-0.481263,-8.44774
1890,-8.57502,-0.825945,-8.35386
1900,-8.63258,-1.18343,-8.25094
1910,-8.67859,-1.55123,-8.14099
1920,-8.71028,-1.92676,-8.02612
1930,-8.72529,-2.30734,-7.90857
1940,-8.72167,-2.69026,-7.79069
1950,-8.69789,-3.0728,-7.67494
1960,-8.65279,-3.45229,-7.56379
1970,-8.58561,-3.82616,-7.45974
1980,-8.49586,-4.19195,-7.36532
1990,-8.38333,-4.54737,-7.28294
2000,-8.24797,-4.8903,-7.21498
2010,-8.08986,-5.21884,-7.16365
2020,-7.90906,-5.53128,-7.13103
2030,-7.70561,-5.82612,-7.11899
2040,-7.47936,-6.10203,-7.12913
2050,-7.22993,-6.35788,-7.16278
2060,-6.95662,-6.59269,-7.22093
2070,-6.65835,-6.80558,-7.30414
2080,-6.33357,-6.99576,-7.41251
2090,-5.98026,-7.16251,-7.54553
2100,-5.59586,-7.30514,-7.70204
2110,-5.16109,-7.44095,-7.87371
2120,-4.66005,-7.58684,-8.04512
2130,-4.09552,-7.74164,-8.20327
2140,-3.47158,-7.90437,-8.33481
2150,-2.7939,-8.07404,-8.42639
2160,-2.07006,-8.24958,-8.46518
2170,-1.30957,-8.42975,-8.43945
2180,-0.523909,-8.61311,-8.33906
2190,0.273751,-8.79794,-8.15606
2200,1.06888,-8.98235,-7.88511
2210,1.8461,-9.16422,-7.52389
2220,2.58984,-9.34136,-7.07332
2230,3.28501,-9.51149,-6.5376
2240,3.91771,-9.67245,-5.92413
2250,4.47591,-9.82221,-5.24313
2260,4.9501,-9.95899,-4.50722
2270,5.33363,-10.0814,-3.73076
2280,5.62312,-10.1883,-2.92912
2290,5.81847,-10.2791,-2.11794
2300,5.9228,-10.3537,-1.31237
2310,5.94218,-10.4122,-0.52641
2320,5.8852,-10.4553,0.227676
2330,5.76243,-10.4839,0.939739
2340,5.58587,-10.4991,1.60201
2350,5.36832,-10.5024,2.20912
2360,5.12283,-10.4952,2.75802
2370,4.86223,-10.4791,3.24773
2380,4.59873,-10.4555,3.6789
2390,4.34366,-10.426,4.05341
2400,4.10728,-10.3923,4.37381
2410,3.90441,-10.3506,4.6498
2420,3.74444,-10.2975,4.89283
2430,3.62789,-10.2348,5.10749
2440,3.5544,-10.1638,5.29746
2450,3.52297,-10.0855,5.46553
2460,3.53202,-10.0005,5.61375
2470,3.57953,-9.90957,5.74345
2480,3.66314,-9.813,5.85547
2490,3.78013,-9.71113,5.95017
2500,3.92757,-9.60426,6.02764
2510,4.10226,-9.49265,6.08777
2520,4.30083,-9.37663,6.1304
2530,4.51972,-9.25655,6.15536
2540,4.7553,-9.13284,6.16266
2550,5.00382,-9.00604,6.15248
2560,5.26154,-8.87676,6.12531
2570,5.52471,-8.7457,6.08197
2580,5.78968,-8.61365,6.02367
2590,6.05293,-8.48149,5.95201
2600,6.31107,-8.35015,5.86901
2610,6.56098,-8.22063,5.7771
2620,6.79973,-8.09394,5.67907
2630,7.02468,-7.97113,5.57809
2640,7.23344,-7.85323,5.4776
2650,7.42388,-7.74129,5.38132
2660,7.59407,-7.6363,5.29312
2670,7.74226,-7.53926,5.217
2680,7.86679,-7.45111,5.157
2690,7.96602,-7.37277,5.11711
2700,8.0382,-7.30514,5.1012
2710,8.0915,-7.24777,5.09878
2720,8.13577,-7.19933,5.09695
2730,8.17168,-7.15936,5.0958
2740,8.19985,-7.12738,5.09538
2750,8.22091,-7.10288,5.09567
2760,8.23542,-7.08533,5.09666
2770,8.24396,-7.07421,5.0983
2780,8.24709,-7.06896,5.10052
2790,8.24535,-7.06904,5.10323
2800,8.23928,-7.07387,5.10634
2810,8.22941,-7.0829,5.10973
2820,8.21627,-7.09556,5.11331
2830,8.2004,-7.11128,5.11695
2840,8.18232,-7.12949,5.12056
2850,8.16256,-7.14962,5.12402
2860,8.14167,-7.17111,5.12723
2870,8.12017,-7.1934,5.13009
2880,8.09862,-7.21593,5.13252
2890,8.07757,-7.23814,5.13442
2900,8.05756,-7.25948,5.13573
2910,8.03915,-7.27941,5.13637
2920,8.02291,-7.29737,5.13627
2930,8.0094,-7.31283,5.13537
2940,7.99919,-7.32524,5.13361
2950,7.99282,-7.33406,5.13093
2960,7.99087,-7.33874,5.12727
2970,7.99389,-7.33875,5.12255
2980,8.00243,-7.33352,5.1167
2990,8.01702,-7.32251,5.10962
3000,8.0382,-7.30514,5.1012
3010,8.06182,-7.28293,5.09567
3020,8.08365,-7.2579,5.09681
3030,8.10405,-7.23019,5.1038
3040,8.12338,-7.19992,5.11584
3050,8.14201,-7.16724,5.13209
3060,8.16028,-7.13229,5.15173
3070,8.17854,-7.0952,5.17394
3080,8.19715,-7.05612,5.19789
3090,8.21646,-7.01518,5.22274
3100,8.23685,-6.97253,5.24767
3110,8.25869,-6.92832,5.27185
3120,8.28235,-6.8827,5.29444
3130,8.30822,-6.83582,5.3146
3140,8.33669,-6.78783,5.33151
3150,8.36813,-6.7389,5.34431
3160,8.40294,-6.68918,5.35215
3170,8.44149,-6.63883,5.35418
3180,8.48414,-6.58802,5.34952
3190,8.53125,-6.5369,5.33729
3200,8.58315,-6.48564,5.31658
3210,8.64012,-6.4344,5.28647
3220,8.70243,-6.38335,5.246
3230,8.77029,-6.33263,5.19421
3240,8.84385,-6.28242,5.13007
3250,8.92319,-6.23285,5.05255
3260,9.00833,-6.18409,4.96055
3270,9.09916,-6.13628,4.85297
3280,9.1955,-6.08957,4.72863
