Time,X,Y,Z
1640,-8.70682,1.56631,-8.10789
1650,-8.67279,1.56631,-8.14429
1660,-8.63859,1.56631,-8.18055
1670,-8.60425,1.56631,-8.21666
1680,-8.56976,1.56631,-8.25263
1690,-8.53512,1.56631,-8.28845
1700,-8.50032,1.56631,-8.32413
1710,-8.46538,1.56631,-8.35966
1720,-8.43029,1.56631,-8.39505
1730,-8.39505,1.56631,-8.43029
1740,-8.35966,1.56631,-8.46538
1750,-8.32413,1.56631,-8.50032
1760,-8.28845,1.56631,-8.53512
1770,-8.25263,1.56631,-8.56976
1780,-8.21666,1.56631,-8.60425
1790,-8.18055,1.56631,-8.6386
1800,-8.14429,1.56631,-8.67279
1810,-8.13328,1.25472,-8.73358
1820,-8.11683,0.942194,-8.78802
1830,-8.09495,0.628953,-8.83607
1840,-8.06766,0.315217,-8.8777
1850,-8.03498,0.00120801,-8.91286
1860,-7.99692,-0.312856,-8.94155
1870,-7.95352,-0.626754,-8.96374
1880,-7.90481,-0.940263,-8.97941
1890,-7.85082,-1.25317,-8.98856
1900,-7.79158,-1.56524,-8.99117
1910,-7.72715,-1.87627,-8.98726
1920,-7.65756,-2.18604,-8.9768
1930,-7.58287,-2.49433,-8.95983
1940,-7.50312,-2.80091,-8.93634
1950,-7.41837,-3.10559,-8.90635
1960,-7.32868,-3.40813,-8.86989
1970,-7.23412,-3.70834,-8.82698
1980,-7.13476,-4.006,-8.77766
1990,-7.03065,-4.3009,-8.72194
2000,-6.92187,-4.59283,-8.65989
2010,-6.80851,-4.88159,-8.59152
2020,-6.69064,-5.16698,-8.51691
2030,-6.56834,-5.44879,-8.43609
2040,-6.44169,-5.72683,-8.34913
2050,-6.3108,-6.0009,-8.25609
2060,-6.17575,-6.27082,-8.15702
2070,-6.03662,-6.53638,-8.05201
2080,-5.89353,-6.79741,-7.94112
2090,-5.74658,-7.05372,-7.82444
2100,-5.59586,-7.30514,-7.70204
2110,-4.92506,-7.32467,-8.12976
2120,-4.21582,-7.35961,-8.48899
2130,-3.47531,-7.40959,-8.77611
2140,-2.71102,-7.47412,-8.98821
2150,-1.93068,-7.55253,-9.12314
2160,-1.14218,-7.64405,-9.17954
2170,-0.35349,-7.74773,-9.15684
2180,0.427403,-7.86253,-9.05527
2190,1.19261,-7.9873,-8.87585
2200,1.93438,-8.12076,-8.62041
2210,2.64522,-8.26158,-8.29151
2220,3.31793,-8.40831,-7.8925
2230,3.94572,-8.55949,-7.4274
2240,4.52224,-8.71359,-6.90093
2250,5.04165,-8.86903,-6.3184
2260,5.49869,-9.02426,-5.6857
2270,5.88876,-9.17769,-5.00924
2280,6.2079,-9.32779,-4.29586
2290,6.45288,-9.47303,-3.55277
2300,6.62122,-9.61194,-2.78749
2310,6.71123,-9.74311,-2.00776
2320,6.722,-9.86523,-1.22146
2330,6.65341,-9.97705,-0.436549
2340,6.50615,-10.0775,0.339033
2350,6.28173,-10.1654,1.09744
2360,5.9824,-10.24,1.83101
2370,5.6112,-10.3006,2.53232
2380,5.17188,-10.3464,3.19428
2390,4.66887,-10.3771,3.81018
2400,4.10728,-10.3923,4.37381
2410,4.24836,-10.3132,4.42587
2420,4.38905,-10.2323,4.4761
2430,4.52932,-10.1496,4.52448
2440,4.66914,-10.065,4.571
2450,4.80847,-9.97869,4.61565
2460,4.94728,-9.89057,4.65843
2470,5.08554,-9.8007,4.69931
2480,5.22321,-9.7091,4.73829
2490,5.36026,-9.61579,4.77537
2500,5.49665,-9.5208,4.81052
2510,5.63236,-9.42415,4.84375
2520,5.76735,-9.32585,4.87504
2530,5.90159,-9.22595,4.9044
2540,6.03505,-9.12445,4.9318
2550,6.16768,-9.02138,4.95724
2560,6.29948,-8.91678,4.98073
