Time,Entropy
4120,3.12252
4130,3.1452
4140,3.18481
4150,3.24324
4160,3.2734
4170,3.29087
4180,3.32624
4190,3.34251
4200,3.36627
4210,3.36862
4220,3.36972
4230,3.34812
4240,3.3194
4250,3.32258
4260,3.29935
4270,3.29599
4280,3.28425
4290,3.27297
4300,3.27995
4310,3.25921
4320,3.27669
4330,3.28655
4340,3.2632
4350,3.24219
4360,3.23252
4370,3.24335
4380,3.25159
4390,3.24173
4400,3.24805
4410,3.23017
4420,3.22988
4430,3.2494
4440,3.25474
4450,3.25349
4460,3.25229
4470,3.2495
4480,3.29435
4490,3.31417
4500,3.33885
4510,3.33989
4520,3.33346
4530,3.33526
4540,3.32894
4550,3.31563
4560,3.30984
4570,3.30637
4580,3.2935
4590,3.28634
4600,3.28314
4610,3.28811
4620,3.29315
4630,3.29262
4640,3.29175
4650,3.29398
4660,3.29037
4670,3.29282
4680,3.29378
4690,3.29054
4700,3.28529
4710,3.28825
4720,3.28935
4730,3.29464
4740,3.29761
4750,3.30523
4760,3.30664
4770,3.31906
4780,3.33594
4790,3.34096
4800,3.34397
4810,3.34451
4820,3.33773
4830,3.33535
4840,3.33009
4850,3.32402
4860,3.31716
4870,3.31374
4880,3.31487
4890,3.30349
4900,3.31242
4910,3.31484
4920,3.31689
4930,3.30896
4940,3.29789
4950,3.29483
4960,3.28596
4970,3.28886
4980,3.28719
4990,3.29588
5000,3.31389
5010,3.31371
5020,3.31592
5030,3.32188
5040,3.32885
5050,3.32622
5060,3.33086
5070,3.33349
5080,3.33956
5090,3.34678
5100,3.36346
5110,3.36951
5120,3.3498
5130,3.35211
5140,3.34855
5150,3.33969
5160,3.33
5170,3.31967
5180,3.29826
5190,3.28124
5200,3.2615
5210,3.22969
5220,3.17623
5230,3.16402
5240,3.15104
5250,3.12759
5260,3.10866
5270,3.10527
5280,3.07249
5290,3.07153
5300,3.06845
5310,3.06641
5320,3.09739
5330,3.12568
5340,3.16088
5350,3.21441
5360,3.25518
5370,3.29112
5380,3.30272
5390,3.32042
5400,3.33907
5410,3.3423
5420,3.34418
5430,3.33525
5440,3.32852
5450,3.30677
5460,3.30587
5470,3.29554
5480,3.28464
5490,3.26881
5500,3.24867
5510,3.20886
5520,3.17359
5530,3.18561
5540,3.15085
5550,3.14846
5560,3.15493
5570,3.16366
5580,3.18871
5590,3.19244
5600,3.20156
5610,3.22061
5620,3.23935
5630,3.25174
5640,3.26277
5650,3.27621
5660,3.27555
5670,3.27319
5680,3.27186
5690,3.27304
5700,3.28421
5710,3.27074
5720,3.26153
5730,3.25522
5740,3.24675
5750,3.23631
5760,3.22404
5770,3.21555
5780,3.21502
5790,3.21026
5800,3.20235
5810,3.1988
5820,3.20088
5830,3.19738
5840,3.17828
5850,3.17211
5860,3.16675
5870,3.14651
5880,3.13643
5890,3.13057
5900,3.13519
5910,3.13881
5920,3.1385
5930,3.15638
5940,3.17489
5950,3.18794
5960,3.20904
5970,3.21963
5980,3.2375
5990,3.26343
6000,3.29094
6010,3.28722
6020,3.2894
6030,3.283
6040,3.27729
6050,3.27101
6060,3.25801
6070,3.24334
6080,3.22326
6090,3.22582
6100,3.27651
6110,3.28735
6120,3.28366
6130,3.29585
6140,3.31989
6150,3.32941
6160,3.33262
6170,3.34504
6180,3.32219
6190,3.32302
6200,3.32901
6210,3.32564
6220,3.33121
6230,3.32625
6240,3.32559
6250,3.31978
6260,3.30964
6270,3.2978
6280,3.28621
6290,3.28917
6300,3.29331
6310,3.30122
6320,3.31926
6330,3.32674
6340,3.33208
6350,3.3217
6360,3.31507
6370,3.29481
6380,3.24427
6390,3.18749
6400,3.14193
6410,3.10837
6420,3.06347
6430,3.03404
6440,3.01754
6450,2.99944
6460,2.98599
6470,2.97257
6480,2.96536
6490,2.96759
6500,2.98286
6510,2.98282
6520,3.00829
6530,3.00644
6540,2.99782
6550,3.00426
6560,3.0182
6570,3.02536
6580,3.06797
6590,3.11099
6600,3.12499
6610,3.13811
6620,3.13151
6630,3.11028
6640,3.12117
6650,3.13239
6660,3.1301
6670,3.13736
6680,3.13981
6690,3.11898
6700,3.10561
6710,3.10968
6720,3.09163
6730,3.09365
6740,3.10073
6750,3.11791
6760,3.13631
6770,3.15807
6780,3.17891
6790,3.19111
6800,3.1953
6810,3.20991
6820,3.22433
6830,3.24986
6840,3.2565
6850,3.27668
6860,3.27406
6870,3.27966
6880,3.28228
6890,3.28296
6900,3.27926
6910,3.26451
6920,3.25736
6930,3.26261
6940,3.2823
6950,3.2598
6960,3.23921
6970,3.2337
6980,3.22358
6990,3.22486
7000,3.22636
7010,3.2202
7020,3.18378
7030,3.15212
7040,3.12803
7050,3.09149
7060,3.08489
7070,3.07419
7080,3.06749
7090,3.05763
7100,3.05107
7110,3.03878
7120,3.03992
7130,3.04217
7140,3.05436
7150,3.0747
7160,3.08579
7170,3.1193
7180,3.14793
7190,3.15725
7200,3.17045
7210,3.17664
7220,3.18389
7230,3.18129
7240,3.17439
7250,3.15225
7260,3.12146
7270,3.12813
7280,3.11703
7290,3.09748
7300,3.08489
7310,3.08236
7320,3.07226
7330,3.07265
7340,3.07565
7350,3.07
7360,3.07402
7370,3.07673
7380,3.0734
7390,3.0676
7400,3.06547
7410,3.09649
7420,3.11229
7430,3.13877
7440,3.14222
7450,3.15092
7460,3.1569
7470,3.1565
7480,3.18352
7490,3.19365
7500,3.19696
7510,3.18721
7520,3.18151
7530,3.16858
7540,3.15495
7550,3.14508
7560,3.13078
7570,3.13396
7580,3.12222
7590,3.11781
7600,3.09275
7610,3.11458
7620,3.10362
7630,3.09961
7640,3.08862
7650,3.08526
7660,3.07016
7670,3.06862
7680,3.09212
7690,3.09616
7700,3.11128
7710,3.09342
7720,3.13829
7730,3.15047
7740,3.18327
7750,3.19694
7760,3.22128
7770,3.24971
7780,3.2691
7790,3.29806
7800,3.32204
7810,3.33056
7820,3.32883
7830,3.32604
7840,3.3164
7850,3.28583
7860,3.28503
7870,3.28589
7880,3.26841
7890,3.25184
7900,3.23292
7910,3.2105
7920,3.20108
7930,3.20665
7940,3.21346
7950,3.2212
7960,3.23624
7970,3.25151
7980,3.24803
7990,3.25295
8000,3.24532
8010,3.26267
8020,3.26793
8030,3.28833
8040,3.31076
8050,3.33128
8060,3.33123
8070,3.31822
8080,3.31694
8090,3.32697
8100,3.33873
8110,3.3503
8120,3.35461
8130,3.36143
8140,3.35784
8150,3.34937
8160,3.33778
8170,3.32756
8180,3.32374
8190,3.34055
8200,3.35054
8210,3.35776
8220,3.35643
8230,3.33406
8240,3.2987
8250,3.27723
8260,3.24245
8270,3.20964
8280,3.18038
8290,3.13695
8300,3.12784
8310,3.11021
8320,3.08555
8330,3.10277
8340,3.10759
8350,3.11036
8360,3.10366
8370,3.11048
8380,3.12969
8390,3.13878
8400,3.16322
8410,3.14921
8420,3.14929
8430,3.147
8440,3.13513
8450,3.1144
8460,3.07582
8470,3.08232
8480,3.08752
8490,3.11216
8500,3.10325
8510,3.10395
8520,3.09194
8530,3.09601
8540,3.09593
8550,3.09295
8560,3.10685
8570,3.11369
8580,3.11052
8590,3.12062
8600,3.12373
8610,3.14471
8620,3.16031
8630,3.17753
8640,3.20015
8650,3.21541
8660,3.23069
8670,3.23788
8680,3.25491
8690,3.26684
8700,3.28015
8710,3.27311
8720,3.25646
8730,3.24415
8740,3.23684
8750,3.22733
8760,3.2154
8770,3.19806
8780,3.17484
8790,3.15613
8800,3.16049
8810,3.16797
8820,3.16138
8830,3.17375
8840,3.17793
8850,3.17934
8860,3.19332
8870,3.20329
8880,3.19665
8890,3.19659
8900,3.18664
8910,3.17366
8920,3.17251
8930,3.17602
8940,3.20286
8950,3.22869
8960,3.2682
8970,3.29502
8980,3.30884
8990,3.32101
9000,3.31865
9010,3.32433
9020,3.33275
9030,3.32493
9040,3.31554
9050,3.29977
9060,3.27568
9070,3.25683
9080,3.23095
9090,3.21356
9100,3.20284
9110,3.18125
9120,3.16546
9130,3.1452
9140,3.15103
9150,3.2
9160,3.2081
9170,3.20257
9180,3.2089
9190,3.26611
9200,3.28775
9210,3.30495
9220,3.29829
9230,3.29988
9240,3.28558
9250,3.27443
9260,3.26809
9270,3.26336
9280,3.2691
9290,3.27034
9300,3.27408
9310,3.26413
9320,3.2608
9330,3.26784
9340,3.27493
9350,3.27178
9360,3.28173
9370,3.29315
9380,3.30153
9390,3.31017
9400,3.32472
9410,3.33795
9420,3.34227
9430,3.35235
9440,3.37006
9450,3.37954
9460,3.37939
9470,3.38351
9480,3.39006
9490,3.37287
9500,3.35113
9510,3.33959
9520,3.32709
9530,3.30859
9540,3.29153
9550,3.2687
9560,3.25305
9570,3.24643
9580,3.24128
9590,3.24317
9600,3.24123
9610,3.21384
9620,3.1868
9630,3.15275
9640,3.1154
9650,3.06097
9660,3.02457
9670,2.96884
9680,2.91532
9690,2.89822
9700,2.90226
9710,2.90661
9720,2.90637
9730,2.92931
9740,2.93501
9750,2.95957
9760,2.9885
9770,3.00633
9780,3.02435
9790,3.03381
9800,3.0705
9810,3.09378
9820,3.12253
9830,3.1574
9840,3.18975
9850,3.21339
9860,3.2337
9870,3.25244
9880,3.26914
9890,3.27864
9900,3.28868
9910,3.28567
9920,3.28734
9930,3.28823
9940,3.28271
9950,3.28576
9960,3.27999
9970,3.27632
9980,3.26555
9990,3.25088
10000,3.24008
10010,3.23722
10020,3.24056
10030,3.2414
10040,3.23928
10050,3.23532
10060,3.2266
10070,3.21581
10080,3.2158
10090,3.20919
10100,3.20565
10110,3.19979
10120,3.20664
10130,3.20643
10140,3.21448
10150,3.22024
10160,3.22203
10170,3.23322
10180,3.23601
10190,3.25253
10200,3.26762
10210,3.27405
10220,3.26236
10230,3.2867
10240,3.27932
10250,3.27111
10260,3.2569
10270,3.24949
10280,3.23872
10290,3.23183
10300,3.21364
10310,3.23049
10320,3.23505
10330,3.22977
10340,3.21474
10350,3.23519
10360,3.24377
10370,3.24523
10380,3.24136
10390,3.23387
10400,3.26331
10410,3.2646
10420,3.26899
10430,3.25787
10440,3.24696
10450,3.21271
10460,3.18091
10470,3.16821
10480,3.16374
10490,3.14195
10500,3.12909
10510,3.116
10520,3.09833
10530,3.08471
10540,3.05816
10550,3.02789
10560,2.99549
10570,2.98507
10580,2.96679
10590,2.94565
10600,2.94534
10610,2.93773
10620,2.93373
10630,2.93738
10640,2.93221
10650,2.93732
10660,2.94508
10670,2.94795
10680,2.95422
10690,2.98264
10700,3.01619
10710,3.03721
10720,3.07178
10730,3.09037
10740,3.09446
10750,3.11112
10760,3.12717
10770,3.14569
10780,3.15249
10790,3.16123
10800,3.17167
10810,3.17695
10820,3.17073
10830,3.16291
10840,3.16959
10850,3.16883
10860,3.16514
10870,3.16833
10880,3.1792
10890,3.18225
10900,3.1847
10910,3.18664
10920,3.18824
10930,3.18695
10940,3.19297
10950,3.19981
10960,3.2001
10970,3.20171
10980,3.20143
10990,3.19567
11000,3.18913
11010,3.16833
11020,3.18623
11030,3.20451
11040,3.22623
11050,3.23465
11060,3.23845
11070,3.25242
11080,3.24776
11090,3.2541
11100,3.24079
11110,3.18965
11120,3.14378
11130,3.11512
11140,3.07075
11150,3.0513
11160,3.05752
11170,3.03279
11180,3.02604
11190,3.04435
11200,3.01971
11210,3.03166
11220,3.01437
11230,3.00026
11240,2.99559
11250,2.98067
11260,2.96806
11270,2.96582
11280,2.95923
11290,2.94473
11300,2.94109
11310,2.94796
11320,2.95719
11330,2.96403
11340,2.97453
11350,2.98801
11360,3.00167
11370,3.0131
11380,3.02918
11390,3.03261
11400,3.03886
11410,3.03947
11420,3.02693
11430,3.01653
11440,3.01208
11450,3.02357
11460,3.03128
11470,3.03396
11480,3.02527
11490,3.01094
11500,3.00327
11510,3.01043
11520,3.02095
11530,3.03864
11540,3.04789
11550,3.03572
11560,3.03502
11570,3.03568
11580,3.02267
11590,3.05689
11600,3.08535
11610,3.10947
11620,3.14264
11630,3.17002
11640,3.22343
11650,3.26748
11660,3.2893
11670,3.29738
11680,3.30728
11690,3.31425
11700,3.3245
11710,3.33046
11720,3.33949
11730,3.33384
11740,3.3173
11750,3.30446
11760,3.29167
11770,3.27171
11780,3.25399
11790,3.2335
11800,3.23966
11810,3.249
11820,3.25143
11830,3.24875
11840,3.23225
11850,3.21257
11860,3.2035
11870,3.1816
11880,3.1533
11890,3.14649
11900,3.18779
11910,3.20716
11920,3.20713
11930,3.21533
11940,3.23476
11950,3.25853
11960,3.26723
11970,3.26251
11980,3.25802
11990,3.25605
12000,3.25176
12010,3.23509
12020,3.22127
12030,3.20086
12040,3.19245
12050,3.18449
12060,3.18211
12070,3.17256
12080,3.16785
12090,3.16446
12100,3.16747
12110,3.17776
12120,3.18488
12130,3.18844
12140,3.18411
12150,3.18097
12160,3.17467
12170,3.17142
12180,3.15977
12190,3.15261
12200,3.15272
12210,3.14847
12220,3.13798
12230,3.13086
12240,3.13114
12250,3.12385
12260,3.10466
12270,3.09818
12280,3.09255
12290,3.09427
12300,3.10058
12310,3.10242
12320,3.1041
12330,3.1031
12340,3.1105
12350,3.1068
12360,3.11225
12370,3.11413
12380,3.11042
12390,3.09286
12400,3.08513
12410,3.06988
12420,3.05222
12430,3.04855
12440,3.03864
12450,3.03045
12460,3.0216
12470,3.01614
12480,3.0121
12490,3.01105
12500,3.02084
12510,3.04225
12520,3.05862
12530,3.07585
12540,3.08513
